drug,label,organization,name,update_date,gene,data_source
toremifene,Testing required,FDA,"Annotation of FDA Label for toremifene and ESR1, ESR2",,ESR1,drug_label
toremifene,Testing required,FDA,"Annotation of FDA Label for toremifene and ESR1, ESR2",,ESR2,drug_label
cabozantinib,Informative PGx,FDA,Annotation of FDA Label for cabozantinib and RET,,RET,drug_label
vemurafenib,Informative PGx,FDA,"Annotation of FDA Label for vemurafenib and HRAS, KRAS, NRAS",,HRAS,drug_label
vemurafenib,Informative PGx,FDA,"Annotation of FDA Label for vemurafenib and HRAS, KRAS, NRAS",,KRAS,drug_label
vemurafenib,Informative PGx,FDA,"Annotation of FDA Label for vemurafenib and HRAS, KRAS, NRAS",,NRAS,drug_label
valproic acid,Testing required,FDA,Annotation of FDA Label for valproic acid and POLG,2019-10-10,POLG,drug_label
metoclopramide,Actionable PGx,FDA,Annotation of FDA Label for metoclopramide and CYP2D6,,CYP2D6,drug_label
dinutuximab,Informative PGx,FDA,Annotation of FDA Label for dinutuximab and MYCN,,MYCN,drug_label
larotrectinib sulfate,Testing required,FDA,"Annotation of FDA Label for larotrectinib sulfate and NTRK1, NTRK2, NTRK3",,NTRK1,drug_label
larotrectinib sulfate,Testing required,FDA,"Annotation of FDA Label for larotrectinib sulfate and NTRK1, NTRK2, NTRK3",,NTRK2,drug_label
larotrectinib sulfate,Testing required,FDA,"Annotation of FDA Label for larotrectinib sulfate and NTRK1, NTRK2, NTRK3",,NTRK3,drug_label
lidocaine,Actionable PGx,FDA,"Annotation of FDA Label for lidocaine and tetracaine and CYB5R3, G6PD",2019-10-15,CYB5R3,drug_label
lidocaine,Actionable PGx,FDA,"Annotation of FDA Label for lidocaine and tetracaine and CYB5R3, G6PD",2019-10-15,G6PD,drug_label
tetracaine,Actionable PGx,FDA,"Annotation of FDA Label for lidocaine and tetracaine and CYB5R3, G6PD",2019-10-15,CYB5R3,drug_label
tetracaine,Actionable PGx,FDA,"Annotation of FDA Label for lidocaine and tetracaine and CYB5R3, G6PD",2019-10-15,G6PD,drug_label
palonosetron,Informative PGx,FDA,Annotation of FDA Label for palonosetron and CYP2D6,,CYP2D6,drug_label
cobimetinib,Testing required,EMA,Annotation of EMA Label for cobimetinib and BRAF,,BRAF,drug_label
dolutegravir,Actionable PGx,EMA,Annotation of EMA Label for dolutegravir and UGT1A1,,UGT1A1,drug_label
duloxetine,Actionable PGx,EMA,Annotation of EMA Label for duloxetine and CYP2D6,,CYP2D6,drug_label
elagolix,Actionable PGx,FDA,Annotation of FDA Label for elagolix and SLCO1B1,,SLCO1B1,drug_label
belinostat,Actionable PGx,FDA,Annotation of FDA Label for belinostat and UGT1A1,2019-05-09,UGT1A1,drug_label
palbociclib,Testing required,FDA,"Annotation of FDA Label for palbociclib and ERBB2, ESR1, ESR2",2019-04-18,ERBB2,drug_label
palbociclib,Testing required,FDA,"Annotation of FDA Label for palbociclib and ERBB2, ESR1, ESR2",2019-04-18,ESR1,drug_label
palbociclib,Testing required,FDA,"Annotation of FDA Label for palbociclib and ERBB2, ESR1, ESR2",2019-04-18,ESR2,drug_label
rucaparib,Informative PGx,EMA,"Annotation of EMA Label for rucaparib and CYP1A2, CYP2D6",,CYP1A2,drug_label
rucaparib,Informative PGx,EMA,"Annotation of EMA Label for rucaparib and CYP1A2, CYP2D6",,CYP2D6,drug_label
sodium nitrite,Actionable PGx,HCSC,Annotation of HCSC Label for sodium nitrite and G6PD,,G6PD,drug_label
amoxapine,Actionable PGx,FDA,Annotation of FDA Label for amoxapine and CYP2D6,,CYP2D6,drug_label
mefloquine,Informative PGx,Swissmedic,Annotation of Swissmedic Label for mefloquine and G6PD,,G6PD,drug_label
acenocoumarol,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for acenocoumarol and CYP2C9,,CYP2C9,drug_label
nilotinib,Actionable PGx,HCSC,Annotation of HCSC Label for nilotinib and UGT1A1,,UGT1A1,drug_label
lacosamide,Informative PGx,FDA,Annotation of FDA Label for lacosamide and CYP2C19,,CYP2C19,drug_label
alectinib,Testing required,FDA,Annotation of FDA Label for alectinib and ALK,,ALK,drug_label
talazoparib,Testing required,FDA,Annotation of FDA Label for talazoparib and ERBB2,,ERBB2,drug_label
voriconazole,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for voriconazole and CYP2C19,,CYP2C19,drug_label
dolutegravir,Actionable PGx,FDA,Annotation of FDA Label for dolutegravir and UGT1A1,,UGT1A1,drug_label
tamsulosin,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for tamsulosin and CYP2D6, CYP3A4",,CYP2D6,drug_label
tamsulosin,Actionable PGx,Swissmedic,"Annotation of Swissmedic Label for tamsulosin and CYP2D6, CYP3A4",,CYP3A4,drug_label
vincristine,Testing required,FDA,"Annotation of FDA Label for vincristine and ABL1, BCR",,ABL1,drug_label
vincristine,Testing required,FDA,"Annotation of FDA Label for vincristine and ABL1, BCR",,BCR,drug_label
ropivacaine,Actionable PGx,FDA,"Annotation of FDA Label for ropivacaine and CYB5R3, G6PD",2019-10-17,CYB5R3,drug_label
ropivacaine,Actionable PGx,FDA,"Annotation of FDA Label for ropivacaine and CYB5R3, G6PD",2019-10-17,G6PD,drug_label
talazoparib,Testing required,FDA,"Annotation of FDA Label for talazoparib and BRCA1, BRCA2",,BRCA1,drug_label
talazoparib,Testing required,FDA,"Annotation of FDA Label for talazoparib and BRCA1, BRCA2",,BRCA2,drug_label
maraviroc,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for maraviroc and CYP3A5,,CYP3A5,drug_label
olaratumab,Informative PGx,FDA,Annotation of FDA Label for olaratumab and PDGFRA,2019-04-18,PDGFRA,drug_label
elbasvir,Informative PGx,FDA,Annotation of FDA Label for elbasvir / grazoprevir and IFNL3,,IFNL3,drug_label
grazoprevir,Informative PGx,FDA,Annotation of FDA Label for elbasvir / grazoprevir and IFNL3,,IFNL3,drug_label
dacomitinib,Testing required,FDA,Annotation of FDA Label for dacomitinib and EGFR,,EGFR,drug_label
niraparib,Testing required,FDA,"Annotation of FDA Label for niraparib and BRCA1, BRCA2",2020-10-13,BRCA1,drug_label
niraparib,Testing required,FDA,"Annotation of FDA Label for niraparib and BRCA1, BRCA2",2020-10-13,BRCA2,drug_label
erlotinib,Actionable PGx,EMA,Annotation of EMA Label for erlotinib and UGT1A1,,UGT1A1,drug_label
mirabegron,Informative PGx,EMA,Annotation of EMA Label for mirabegron and CYP2D6,,CYP2D6,drug_label
cariprazine,Informative PGx,FDA,Annotation of FDA Label for cariprazine and CYP2D6,,CYP2D6,drug_label
v,Testing recommended,EMA,Annotation of EMA Label for vandetanib and RET,,RET,drug_label
etanib,Testing recommended,EMA,Annotation of EMA Label for vandetanib and RET,,RET,drug_label
umeclidinium,Informative PGx,EMA,Annotation of EMA Label for umeclidinium and CYP2D6,,CYP2D6,drug_label
abacavir,Testing required,Swissmedic,Annotation of Swissmedic Label for abacavir and HLA-B,,HLA-B,drug_label
mirabegron,Actionable PGx,FDA,Annotation of FDA Label for mirabegron and CYP2D6,,CYP2D6,drug_label
olaparib,Testing required,EMA,"Annotation of EMA Label for olaparib and BRCA1, BRCA2, ERBB2",,BRCA1,drug_label
olaparib,Testing required,EMA,"Annotation of EMA Label for olaparib and BRCA1, BRCA2, ERBB2",,BRCA2,drug_label
olaparib,Testing required,EMA,"Annotation of EMA Label for olaparib and BRCA1, BRCA2, ERBB2",,ERBB2,drug_label
isosorbide mononitrate,Informative PGx,FDA,"Annotation of FDA Label for isosorbide mononitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R1,drug_label
isosorbide mononitrate,Informative PGx,FDA,"Annotation of FDA Label for isosorbide mononitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R2,drug_label
isosorbide mononitrate,Informative PGx,FDA,"Annotation of FDA Label for isosorbide mononitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R3,drug_label
isosorbide mononitrate,Informative PGx,FDA,"Annotation of FDA Label for isosorbide mononitrate and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R4,drug_label
formoterol,Informative PGx,FDA,"Annotation of FDA Label for formoterol and CYP2C19, CYP2D6",,CYP2C19,drug_label
formoterol,Informative PGx,FDA,"Annotation of FDA Label for formoterol and CYP2C19, CYP2D6",,CYP2D6,drug_label
trametinib,Informative PGx,FDA,Annotation of FDA Label for trametinib and G6PD,,G6PD,drug_label
binimetinib,Testing required,EMA,Annotation of EMA Label for binimetinib and BRAF,,BRAF,drug_label
brivaracetam,Actionable PGx,EMA,Annotation of EMA Label for brivaracetam and CYP2C19,,CYP2C19,drug_label
cerliponase alfa,Testing required,EMA,Annotation of EMA Label for cerliponase alfa and TPP1,,TPP1,drug_label
dacomitinib,Testing required,EMA,Annotation of EMA Label for dacomitinib and EGFR,,EGFR,drug_label
ivacaftor,Testing required,EMA,Annotation of EMA Label for ivacaftor / lumacaftor and CFTR,,CFTR,drug_label
lumacaftor,Testing required,EMA,Annotation of EMA Label for ivacaftor / lumacaftor and CFTR,,CFTR,drug_label
ivacaftor,Testing required,EMA,Annotation of EMA Label for ivacaftor / tezacaftor and CFTR,,CFTR,drug_label
tezacaftor,Testing required,EMA,Annotation of EMA Label for ivacaftor / tezacaftor and CFTR,,CFTR,drug_label
atazanavir,Actionable PGx,PMDA,Annotation of PMDA Label for atazanavir and CYP2C19,,CYP2C19,drug_label
fosphenytoin,Actionable PGx,FDA,Annotation of FDA Label for fosphenytoin and HLA-B,2019-05-17,HLA-B,drug_label
avatrombopag,Informative PGx,FDA,Annotation of FDA Label for avatrombopag and CYP2C9,,CYP2C9,drug_label
rucaparib,Testing required,EMA,"Annotation of EMA Label for rucaparib and BRCA1, BRCA2",,BRCA1,drug_label
rucaparib,Testing required,EMA,"Annotation of EMA Label for rucaparib and BRCA1, BRCA2",,BRCA2,drug_label
gefitinib,Actionable PGx,FDA,Annotation of FDA Label for gefitinib and CYP2D6,,CYP2D6,drug_label
tamsulosin,Actionable PGx,FDA,Annotation of FDA Label for tamsulosin and CYP2D6,,CYP2D6,drug_label
allopurinol,Informative PGx,PMDA,Annotation of PMDA Label for allopurinol and HLA-B,,HLA-B,drug_label
primaquine,Actionable PGx,FDA,"Annotation of FDA Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R1,drug_label
primaquine,Actionable PGx,FDA,"Annotation of FDA Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R2,drug_label
primaquine,Actionable PGx,FDA,"Annotation of FDA Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R3,drug_label
primaquine,Actionable PGx,FDA,"Annotation of FDA Label for primaquine and CYB5R1, CYB5R2, CYB5R3, CYB5R4",,CYB5R4,drug_label
blinatumomab,Informative PGx,FDA,"Annotation of FDA Label for blinatumomab and ABL1, BCR",2019-10-18,ABL1,drug_label
blinatumomab,Informative PGx,FDA,"Annotation of FDA Label for blinatumomab and ABL1, BCR",2019-10-18,BCR,drug_label
inotersen,Informative PGx,FDA,Annotation of FDA Label for inotersen and TTR,2019-05-16,TTR,drug_label
lorlatinib,Testing required,EMA,Annotation of EMA Label for lorlatinib and ALK,,ALK,drug_label
midostaurin,Testing required,EMA,Annotation of EMA Label for midostaurin and FLT3,,FLT3,drug_label
tafenoquine,Testing required,FDA,Annotation of FDA Label for tafenoquine and G6PD,,G6PD,drug_label
olaparib,Informative PGx,FDA,"Annotation of FDA Label for olaparib and ESR1, ESR2, PGR, PPP2R2A",2020-10-09,ESR1,drug_label
olaparib,Informative PGx,FDA,"Annotation of FDA Label for olaparib and ESR1, ESR2, PGR, PPP2R2A",2020-10-09,ESR2,drug_label
olaparib,Informative PGx,FDA,"Annotation of FDA Label for olaparib and ESR1, ESR2, PGR, PPP2R2A",2020-10-09,PGR,drug_label
olaparib,Informative PGx,FDA,"Annotation of FDA Label for olaparib and ESR1, ESR2, PGR, PPP2R2A",2020-10-09,PPP2R2A,drug_label
meclizine,Actionable PGx,FDA,Annotation of FDA Label for meclizine and CYP2D6,2019-10-21,CYP2D6,drug_label
dasabuvir,Informative PGx,FDA,Annotation of FDA Label for dasabuvir / ombitasvir / paritaprevir / ritonavir and IFNL3,2017-03-15,IFNL3,drug_label
ombitasvir,Informative PGx,FDA,Annotation of FDA Label for dasabuvir / ombitasvir / paritaprevir / ritonavir and IFNL3,2017-03-15,IFNL3,drug_label
paritaprevir,Informative PGx,FDA,Annotation of FDA Label for dasabuvir / ombitasvir / paritaprevir / ritonavir and IFNL3,2017-03-15,IFNL3,drug_label
ritonavir,Informative PGx,FDA,Annotation of FDA Label for dasabuvir / ombitasvir / paritaprevir / ritonavir and IFNL3,2017-03-15,IFNL3,drug_label
sofosbuvir,Informative PGx,FDA,Annotation of FDA Label for sofosbuvir / velpatasvir / voxilaprevir and IFNL3,,IFNL3,drug_label
velpatasvir,Informative PGx,FDA,Annotation of FDA Label for sofosbuvir / velpatasvir / voxilaprevir and IFNL3,,IFNL3,drug_label
voxilaprevir,Informative PGx,FDA,Annotation of FDA Label for sofosbuvir / velpatasvir / voxilaprevir and IFNL3,,IFNL3,drug_label
aliskiren,Informative PGx,HCSC,Annotation of HCSC Label for aliskiren and ABCB1,,ABCB1,drug_label
lesinurad,Actionable PGx,FDA,Annotation of FDA Label for lesinurad and CYP2C9,,CYP2C9,drug_label
neratinib,Testing required,FDA,Annotation of FDA Label for neratinib and ERBB2,,ERBB2,drug_label
pembrolizumab,Testing required,FDA,"Annotation of FDA Label for pembrolizumab and ALK, CD274, EGFR",2020-10-28,ALK,drug_label
pembrolizumab,Testing required,FDA,"Annotation of FDA Label for pembrolizumab and ALK, CD274, EGFR",2020-10-28,CD274,drug_label
pembrolizumab,Testing required,FDA,"Annotation of FDA Label for pembrolizumab and ALK, CD274, EGFR",2020-10-28,EGFR,drug_label
inotuzumab ozogamicin,Informative PGx,FDA,"Annotation of FDA Label for inotuzumab ozogamicin and ABL1, BCR",,ABL1,drug_label
inotuzumab ozogamicin,Informative PGx,FDA,"Annotation of FDA Label for inotuzumab ozogamicin and ABL1, BCR",,BCR,drug_label
amifampridine phosphate,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for amifampridine phosphate and NAT2,,NAT2,drug_label
ipilimumab,Informative PGx,FDA,Annotation of FDA Label for ipilimumab and HLA-A,2019-05-14,HLA-A,drug_label
aspirin,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for aspirin and G6PD,,G6PD,drug_label
tipiracil,Informative PGx,FDA,"Annotation of FDA Label for tipiracil / trifluridine and ERBB2, KRAS",2020-12-30,ERBB2,drug_label
tipiracil,Informative PGx,FDA,"Annotation of FDA Label for tipiracil / trifluridine and ERBB2, KRAS",2020-12-30,KRAS,drug_label
trifluridine,Informative PGx,FDA,"Annotation of FDA Label for tipiracil / trifluridine and ERBB2, KRAS",2020-12-30,ERBB2,drug_label
trifluridine,Informative PGx,FDA,"Annotation of FDA Label for tipiracil / trifluridine and ERBB2, KRAS",2020-12-30,KRAS,drug_label
mivacurium chloride,Actionable PGx,FDA,Annotation of FDA Label for mivacurium chloride and BCHE,,BCHE,drug_label
venlafaxine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for venlafaxine and CYP2D6,,CYP2D6,drug_label
afutuzumab,Informative PGx,HCSC,Annotation of HCSC Label for afutuzumab and MS4A1,,MS4A1,drug_label
tolbutamide,Actionable PGx,HCSC,Annotation of HCSC Label for tolbutamide and G6PD,,G6PD,drug_label
nusinersen,Informative PGx,FDA,Annotation of FDA Label for nusinersen and SMN2,,SMN2,drug_label
midostaurin,Testing required,FDA,Annotation of FDA Label for midostaurin and FLT3,2017-11-09,FLT3,drug_label
hydroxychloroquine,Actionable PGx,FDA,Annotation of FDA Label for hydroxychloroquine and G6PD,2020-03-23,G6PD,drug_label
pembrolizumab,Testing required,EMA,Annotation of EMA Label for pembrolizumab and CD274,,CD274,drug_label
amifampridine,Actionable PGx,FDA,Annotation of FDA Label for amifampridine and NAT2,,NAT2,drug_label
trastuzumab,Actionable PGx,FDA,"Annotation of FDA Label for trastuzumab and ESR1, ESR2, PGR",,ESR1,drug_label
trastuzumab,Actionable PGx,FDA,"Annotation of FDA Label for trastuzumab and ESR1, ESR2, PGR",,ESR2,drug_label
trastuzumab,Actionable PGx,FDA,"Annotation of FDA Label for trastuzumab and ESR1, ESR2, PGR",,PGR,drug_label
emapalumab,Informative PGx,FDA,"Annotation of FDA Label for emapalumab and PRF1, RAB27A, SH2D1A, STX11, STXBP2, UNC13D, XIAP",,PRF1,drug_label
emapalumab,Informative PGx,FDA,"Annotation of FDA Label for emapalumab and PRF1, RAB27A, SH2D1A, STX11, STXBP2, UNC13D, XIAP",,RAB27A,drug_label
emapalumab,Informative PGx,FDA,"Annotation of FDA Label for emapalumab and PRF1, RAB27A, SH2D1A, STX11, STXBP2, UNC13D, XIAP",,SH2D1A,drug_label
emapalumab,Informative PGx,FDA,"Annotation of FDA Label for emapalumab and PRF1, RAB27A, SH2D1A, STX11, STXBP2, UNC13D, XIAP",,STX11,drug_label
emapalumab,Informative PGx,FDA,"Annotation of FDA Label for emapalumab and PRF1, RAB27A, SH2D1A, STX11, STXBP2, UNC13D, XIAP",,STXBP2,drug_label
emapalumab,Informative PGx,FDA,"Annotation of FDA Label for emapalumab and PRF1, RAB27A, SH2D1A, STX11, STXBP2, UNC13D, XIAP",,UNC13D,drug_label
emapalumab,Informative PGx,FDA,"Annotation of FDA Label for emapalumab and PRF1, RAB27A, SH2D1A, STX11, STXBP2, UNC13D, XIAP",,XIAP,drug_label
dabrafenib,Informative PGx,FDA,"Annotation of FDA Label for dabrafenib and HRAS, KRAS, NRAS",2021-03-16,HRAS,drug_label
dabrafenib,Informative PGx,FDA,"Annotation of FDA Label for dabrafenib and HRAS, KRAS, NRAS",2021-03-16,KRAS,drug_label
dabrafenib,Informative PGx,FDA,"Annotation of FDA Label for dabrafenib and HRAS, KRAS, NRAS",2021-03-16,NRAS,drug_label
avelumab,Informative PGx,FDA,Annotation of FDA Label for avelumab and CD274,2017-11-08,CD274,drug_label
durvalumab,Informative PGx,FDA,Annotation of FDA Label for durvalumab and CD274,,CD274,drug_label
cerliponase alfa,Testing required,FDA,Annotation of FDA Label for cerliponase alfa and TPP1,2019-04-25,TPP1,drug_label
umeclidinium,Informative PGx,FDA,Annotation of FDA Label for umeclidinium and CYP2D6,,CYP2D6,drug_label
palonosetron,Informative PGx,EMA,Annotation of EMA Label for palonosetron and CYP2D6,,CYP2D6,drug_label
raltegravir,Informative PGx,EMA,Annotation of EMA Label for raltegravir and UGT1A1,,UGT1A1,drug_label
sofosbuvir,Informative PGx,FDA,Annotation of FDA Label for sofosbuvir / velpatasvir and IFNL3,,IFNL3,drug_label
velpatasvir,Informative PGx,FDA,Annotation of FDA Label for sofosbuvir / velpatasvir and IFNL3,,IFNL3,drug_label
palbociclib,Testing required,EMA,"Annotation of EMA Label for palbociclib and ERBB2, ESR1, ESR2, PGR",,ERBB2,drug_label
palbociclib,Testing required,EMA,"Annotation of EMA Label for palbociclib and ERBB2, ESR1, ESR2, PGR",,ESR1,drug_label
palbociclib,Testing required,EMA,"Annotation of EMA Label for palbociclib and ERBB2, ESR1, ESR2, PGR",,ESR2,drug_label
palbociclib,Testing required,EMA,"Annotation of EMA Label for palbociclib and ERBB2, ESR1, ESR2, PGR",,PGR,drug_label
allopurinol,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for allopurinol and HLA-B,,HLA-B,drug_label
migalastat,Testing required,EMA,Annotation of EMA Label for migalastat and GLA,,GLA,drug_label
tafamidis,Informative PGx,FDA,Annotation of FDA Label for tafamidis and TTR,,TTR,drug_label
paliperidone,Informative PGx,FDA,Annotation of FDA Label for paliperidone and CYP2D6,,CYP2D6,drug_label
ramucirumab,Informative PGx,FDA,Annotation of FDA Label for ramucirumab and KRAS,,KRAS,drug_label
eteplirsen,Testing required,FDA,Annotation of FDA Label for eteplirsen and DMD,,DMD,drug_label
lapatinib,Actionable PGx,EMA,"Annotation of EMA Label for lapatinib and HLA-DQA1, HLA-DRB1",,HLA-DQA1,drug_label
lapatinib,Actionable PGx,EMA,"Annotation of EMA Label for lapatinib and HLA-DQA1, HLA-DRB1",,HLA-DRB1,drug_label
procainamide,Informative PGx,FDA,Annotation of FDA Label for procainamide and NAT2,,NAT2,drug_label
neratinib,Testing required,EMA,"Annotation of EMA Label for neratinib and ERBB2, ESR1, ESR2, PGR",,ERBB2,drug_label
neratinib,Testing required,EMA,"Annotation of EMA Label for neratinib and ERBB2, ESR1, ESR2, PGR",,ESR1,drug_label
neratinib,Testing required,EMA,"Annotation of EMA Label for neratinib and ERBB2, ESR1, ESR2, PGR",,ESR2,drug_label
neratinib,Testing required,EMA,"Annotation of EMA Label for neratinib and ERBB2, ESR1, ESR2, PGR",,PGR,drug_label
alpelisib,Testing required,FDA,"Annotation of FDA Label for alpelisib and ERBB2, ESR1, ESR2, PIK3CA",,ERBB2,drug_label
alpelisib,Testing required,FDA,"Annotation of FDA Label for alpelisib and ERBB2, ESR1, ESR2, PIK3CA",,ESR1,drug_label
alpelisib,Testing required,FDA,"Annotation of FDA Label for alpelisib and ERBB2, ESR1, ESR2, PIK3CA",,ESR2,drug_label
alpelisib,Testing required,FDA,"Annotation of FDA Label for alpelisib and ERBB2, ESR1, ESR2, PIK3CA",,PIK3CA,drug_label
duvelisib,Informative PGx,FDA,Annotation of FDA Label for duvelisib,,,drug_label
migalastat,Testing required,FDA,Annotation of FDA Label for migalastat and GLA,,GLA,drug_label
erdafitinib,Actionable PGx,FDA,Annotation of FDA Label for erdafitinib and CYP2C9,2019-10-09,CYP2C9,drug_label
ombitasvir,Informative PGx,FDA,Annotation of FDA Label for ombitasvir / paritaprevir / ritonavir and IFNL3,2019-04-14,IFNL3,drug_label
paritaprevir,Informative PGx,FDA,Annotation of FDA Label for ombitasvir / paritaprevir / ritonavir and IFNL3,2019-04-14,IFNL3,drug_label
ritonavir,Informative PGx,FDA,Annotation of FDA Label for ombitasvir / paritaprevir / ritonavir and IFNL3,2019-04-14,IFNL3,drug_label
ustekinumab,Informative PGx,FDA,"Annotation of FDA Label for ustekinumab and IL12A, IL12B, IL23A",2020-10-30,IL12A,drug_label
ustekinumab,Informative PGx,FDA,"Annotation of FDA Label for ustekinumab and IL12A, IL12B, IL23A",2020-10-30,IL12B,drug_label
ustekinumab,Informative PGx,FDA,"Annotation of FDA Label for ustekinumab and IL12A, IL12B, IL23A",2020-10-30,IL23A,drug_label
desvenlafaxine,Informative PGx,FDA,Annotation of FDA Label for desvenlafaxine and CYP2D6,,CYP2D6,drug_label
enasidenib,Testing required,FDA,Annotation of FDA Label for enasidenib and IDH2,,IDH2,drug_label
pertuzumab,Actionable PGx,FDA,"Annotation of FDA Label for pertuzumab and ESR1, ESR2, PGR",2019-04-19,ESR1,drug_label
pertuzumab,Actionable PGx,FDA,"Annotation of FDA Label for pertuzumab and ESR1, ESR2, PGR",2019-04-19,ESR2,drug_label
pertuzumab,Actionable PGx,FDA,"Annotation of FDA Label for pertuzumab and ESR1, ESR2, PGR",2019-04-19,PGR,drug_label
celecoxib,Actionable PGx,PMDA,Annotation of PMDA Label for celecoxib and CYP2C9,,CYP2C9,drug_label
codeine,Actionable PGx,PMDA,Annotation of PMDA Label for codeine and CYP2D6,,CYP2D6,drug_label
dapsone,Actionable PGx,PMDA,Annotation of PMDA Label for dapsone and G6PD,,G6PD,drug_label
efavirenz,Actionable PGx,PMDA,Annotation of PMDA Label for efavirenz and CYP2B6,,CYP2B6,drug_label
fesoterodine,Actionable PGx,PMDA,Annotation of PMDA Label for fesoterodine and CYP2D6,,CYP2D6,drug_label
letrozole,Actionable PGx,PMDA,Annotation of PMDA Label for letrozole and CYP2A6,,CYP2A6,drug_label
nalidixic acid,Actionable PGx,PMDA,Annotation of PMDA Label for nalidixic acid and G6PD,,G6PD,drug_label
perphenazine,Actionable PGx,PMDA,Annotation of PMDA Label for perphenazine and CYP2D6,,CYP2D6,drug_label
rabeprazole,Actionable PGx,PMDA,Annotation of PMDA Label for rabeprazole and CYP2C19,,CYP2C19,drug_label
sulfadiazine,Actionable PGx,PMDA,Annotation of PMDA Label for sulfadiazine and G6PD,,G6PD,drug_label
sulfamethoxazole,Actionable PGx,PMDA,Annotation of PMDA Label for sulfamethoxazole / trimethoprim and G6PD,,G6PD,drug_label
trimethoprim,Actionable PGx,PMDA,Annotation of PMDA Label for sulfamethoxazole / trimethoprim and G6PD,,G6PD,drug_label
sulfasalazine,Actionable PGx,PMDA,Annotation of PMDA Label for sulfasalazine and G6PD,,G6PD,drug_label
tetrabenazine,Actionable PGx,PMDA,Annotation of PMDA Label for tetrabenazine and CYP2D6,,CYP2D6,drug_label
moviprep,Actionable PGx,PMDA,Annotation of PMDA Label for moviprep and G6PD,,G6PD,drug_label
voriconazole,Actionable PGx,PMDA,Annotation of PMDA Label for voriconazole and CYP2C19,,CYP2C19,drug_label
eliglustat,Testing required,PMDA,Annotation of PMDA Label for eliglustat and CYP2D6,,CYP2D6,drug_label
erlotinib,Testing required,PMDA,Annotation of PMDA Label for erlotinib and EGFR,,EGFR,drug_label
vemurafenib,Testing required,PMDA,Annotation of PMDA Label for vemurafenib and BRAF,,BRAF,drug_label
isoniazid,Informative PGx,PMDA,Annotation of PMDA Label for isoniazid and NAT2,,NAT2,drug_label
omeprazole,Informative PGx,PMDA,Annotation of PMDA Label for omeprazole and CYP2C19,,CYP2C19,drug_label
escitalopram,Actionable PGx,PMDA,"Annotation of PMDA Label for escitalopram and CYP2C19, CYP2D6",,CYP2C19,drug_label
escitalopram,Actionable PGx,PMDA,"Annotation of PMDA Label for escitalopram and CYP2C19, CYP2D6",,CYP2D6,drug_label
binimetinib,Informative PGx,FDA,Annotation of FDA Label for binimetinib and UGT1A1,,UGT1A1,drug_label
binimetinib,Testing required,FDA,Annotation of FDA Label for binimetinib and BRAF,2019-05-09,BRAF,drug_label
lofexidine,Actionable PGx,FDA,Annotation of FDA Label for lofexidine and CYP2D6,,CYP2D6,drug_label
ivacaftor,Testing required,FDA,Annotation of FDA Label for ivacaftor / tezacaftor and CFTR,2021-02-05,CFTR,drug_label
tezacaftor,Testing required,FDA,Annotation of FDA Label for ivacaftor / tezacaftor and CFTR,2021-02-05,CFTR,drug_label
nilotinib,Actionable PGx,FDA,Annotation of FDA Label for nilotinib and UGT1A1,,UGT1A1,drug_label
ivacaftor,Testing required,FDA,Annotation of FDA Label for ivacaftor / lumacaftor and CFTR,2021-02-05,CFTR,drug_label
lumacaftor,Testing required,FDA,Annotation of FDA Label for ivacaftor / lumacaftor and CFTR,2021-02-05,CFTR,drug_label
binimetinib,Informative PGx,EMA,Annotation of EMA Label for binimetinib and UGT1A1,,UGT1A1,drug_label
elosulfase alfa,Testing required,EMA,Annotation of EMA Label for elosulfase alfa and GALNS,,GALNS,drug_label
acetaminophen,Testing required,Swissmedic,Annotation of Swissmedic Label for acetaminophen / codeine and CYP2D6,,CYP2D6,drug_label
codeine,Testing required,Swissmedic,Annotation of Swissmedic Label for acetaminophen / codeine and CYP2D6,,CYP2D6,drug_label
acetaminophen,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for acetaminophen / codeine and G6PD,,G6PD,drug_label
codeine,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for acetaminophen / codeine and G6PD,,G6PD,drug_label
aripiprazole,Actionable PGx,Swissmedic,Annotation of Swissmedic Label for aripiprazole and CYP2D6,,CYP2D6,drug_label
carbamazepine,Testing recommended,Swissmedic,Annotation of Swissmedic Label for carbamazepine and HLA-A,,HLA-A,drug_label
